ordem,pid,moradia_classe,moradia_zoneamento,lote_fachada,lote_area,rua_tipo,beco_tipo,lote_formato,terreno_contorno,utilidades,lote_config,terreno_declive,vizinhanca,condicao_1,condicao_2,moradia_tipo,moradia_estilo,geral_qualidade,geral_condicao,construcao_ano,remodelacao_ano,telhado_estilo,telhado_material,exterior_cobertura_1,exterior_cobertura_2,alvenaria_tipo,alvenaria_area,exterior_qualidade,exterior_condicao,fundacao_tipo,porao_qualidade,porao_condicao,porao_exposicao,porao_acabamento_1,porao_area_com_acabamento_1,porao_acabamento_2,porao_area_com_acabamento_2,porao_area_sem_acabamento,porao_area_total,porao_num_banheiros,porao_num_banheiros_lavabos,aquecimento_tipo,aquecimento_qualidade_condicao,ar_condicionado_central,sistema_eletrico_tipo,primeiro_andar_area,segundo_andar_area,acabamento_baixa_qualidade_area,acima_solo_area,acima_solo_num_banheiros,acima_solo_num_lavabos,acima_solo_num_quartos,acima_solo_num_cozinhas,cozinha_qualidade,acima_solo_num_comodos,funcional,total_num_lareiras,lareira_qualidade,garagem_tipo,garagem_ano_construcao,garagem_acabamento,garagem_capacidade_carros,garagem_area,garagem_qualidade,garagem_condicao,entrada_veiculo_pavimentada,deck_madeira_area,varanda_aberta_area,varanda_fechada_area,varanda_3ssn_area,varanda_com_tela_area,piscina_area,piscina_qualidade,cerca_qualidade,funcionalidades_diversas,funcionalidades_valor,venda_mes,venda_ano,venda_tipo,venda_condicao,venda_valor,
1573,1573,916325080,20,Residencial baixa densidade,NA,15498,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Timberland,normal,normal,família única,um andar,muito boa,acima da média,1976,1976,quadril,telhas de madeira (shakes),pedra,placa dura,nenhum,0,boa,média,bloco de concreto,boa,média,exposição média,alojamento médio,1165,baixa qualidade,400,0,1565,1,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,2898,0,0,2898,2,0,2,1,boa,10,funcionalidade típica,1,boa,anexada à casa,1976,terminada,2,665,média,média,Y,0,72,174,0,0,0,NA,NA,NA,0,5,2008,escritura / propriedade do oficial de justiça,venda anormal,287000
1574,1574,916380060,20,Residencial baixa densidade,74,11563,pavimentada,NA,levemente irregular,encosta,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,um andar,muito boa,média,2006,2007,quadril,telha padrão (composto),tapume de vinil,tapume de vinil,pedra,258,boa,média,concreto derrramado,excelente,média,exposição boa,alojamento bom,1036,não finalizado,0,482,1518,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1537,0,0,1537,2,0,3,1,boa,8,funcionalidade típica,0,NA,anexada à casa,2007,terminada,3,788,média,média,Y,0,26,0,0,0,0,NA,NA,NA,0,4,2008,WD ,venda normal,294000
1575,1575,916382120,20,Residencial baixa densidade,71,9520,pavimentada,NA,levemente irregular,encosta,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,um andar,muito boa,média,2007,2008,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,pedra,338,boa,média,concreto derrramado,boa,média,exposição boa,alojamento bom,1513,não finalizado,0,125,1638,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1646,0,0,1646,2,0,3,1,boa,7,funcionalidade típica,1,boa,anexada à casa,2008,acabamento grosseiro,3,800,média,média,Y,192,44,0,0,0,0,NA,NA,NA,0,4,2008,casa recém-construída e vendida,casa não foi concluída na última avaliação,293077
1576,1576,916384100,60,Residencial baixa densidade,107,12852,pavimentada,NA,levemente irregular,encosta,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Timberland,normal,normal,família única,dois andares,muito boa,média,2007,2007,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,boa,média,concreto derrramado,boa,média,exposição média,alojamento bom,770,não finalizado,0,150,920,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,920,860,0,1780,2,1,3,1,boa,6,funcionalidade típica,1,boa,anexada à casa,2007,terminada,2,612,média,média,Y,0,192,0,0,0,0,NA,NA,NA,0,1,2008,casa recém-construída e vendida,casa não foi concluída na última avaliação,264966
1577,1577,916386040,dividida ou multinível,Residencial baixa densidade,73,9802,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,nível dividido (split level),média,média,2006,2007,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,m\u00e9dia,média,concreto derrramado,boa,média,No,não finalizado,0,não finalizado,0,352,352,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,712,730,0,1442,2,1,3,1,média,6,funcionalidade típica,0,NA,embutida,2007,terminada,2,400,média,média,Y,100,0,0,0,0,0,NA,NA,NA,0,4,2008,WD ,venda normal,172500
1578,1578,916386080,dividida ou multinível,Residencial baixa densidade,73,9735,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,nível dividido (split level),média,média,2006,2007,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,m\u00e9dia,média,concreto derrramado,boa,média,No,não finalizado,0,não finalizado,0,384,384,0,0,forno de ar quente a gás,boa,Y,NA,754,640,0,1394,2,1,3,1,boa,7,funcionalidade típica,0,NA,embutida,2007,terminada,2,400,média,média,Y,100,0,0,0,0,0,NA,NA,NA,0,5,2008,WD ,venda normal,167500
1579,1579,916386180,60,Residencial baixa densidade,81,12018,pavimentada,NA,levemente irregular,encosta,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Timberland,normal,normal,família única,dois andares,boa,média,2008,2008,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,pedra,60,boa,média,concreto derrramado,boa,média,exposição média,não finalizado,0,não finalizado,0,796,796,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,796,816,0,1612,2,1,3,1,boa,6,funcionalidade típica,0,NA,anexada à casa,2008,terminada,3,666,média,média,Y,0,64,0,0,0,0,NA,NA,NA,0,10,2008,casa recém-construída e vendida,casa não foi concluída na última avaliação,218689
1580,1580,916402015,20,Residencial baixa densidade,75,12890,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,um andar,acima da média,média,1989,1989,duas águas,telha padrão (composto),tapume de madeira,tapume de madeira,face de tijolo,128,m\u00e9dia,média,bloco de concreto,boa,média,No,não finalizado,0,não finalizado,0,1495,1495,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1495,0,0,1495,2,0,3,1,média,8,funcionalidade típica,1,média,anexada à casa,1989,não terminada,2,438,média,média,Y,252,0,192,0,0,0,NA,NA,NA,0,7,2008,WD ,venda normal,150000
1581,1581,916402115,20,Residencial baixa densidade,47,12416,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,um andar,acima da média,média,1986,1986,duas águas,telha padrão (composto),tapume de vinil,madeirra compensada,pedra,132,m\u00e9dia,média,bloco de concreto,boa,regular,No,alojamento médio,1398,baixa qualidade,208,0,1606,1,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,1651,0,0,1651,2,0,3,1,média,7,deduções menores 2,1,média,anexada à casa,1986,terminada,2,616,média,média,Y,192,0,0,0,0,0,NA,NA,NA,0,11,2008,WD ,venda normal,184000
1582,1582,916402215,20,Residencial baixa densidade,93,18265,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Timberland,normal,normal,família única,um andar,acima da média,média,1986,1986,duas águas,telha padrão (composto),madeirra compensada,placa dura,face de tijolo,228,boa,boa,bloco de concreto,boa,boa,exposição média,alojamento bom,920,sala de recreação média,60,276,1256,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1256,0,0,1256,2,0,3,1,boa,6,funcionalidade típica,1,regular,anexada à casa,1986,não terminada,2,578,média,média,Y,282,0,0,0,0,0,NA,NA,NA,0,3,2008,WD ,venda normal,180000
1583,1583,916403230,dividida ou multinível,Residencial baixa densidade,85,10200,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,nível dividido (split level),acima da média,média,1988,1989,duas águas,telha padrão (composto),placa dura,placa dura,face de tijolo,219,boa,média,bloco de concreto,boa,média,exposição média,alojamento bom,783,não finalizado,0,678,1461,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1509,0,0,1509,2,0,3,1,boa,5,funcionalidade típica,1,regular,anexada à casa,1988,acabamento grosseiro,2,600,média,média,Y,224,0,0,0,0,0,NA,NA,NA,0,8,2008,WD ,venda anormal,175000
1584,1584,916455120,20,Residencial baixa densidade,82,11202,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,um andar,muito boa,média,2003,2003,quadril,telha padrão (composto),tapume de vinil,tapume de vinil,face de tijolo,206,boa,média,concreto derrramado,excelente,média,exposição média,alojamento bom,1029,não finalizado,0,403,1432,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1440,0,0,1440,2,0,3,1,boa,7,funcionalidade típica,1,média,anexada à casa,2003,terminada,2,467,média,média,Y,185,95,0,0,0,0,NA,NA,NA,0,6,2008,WD ,venda normal,232500
1585,1585,916460060,20,Residencial baixa densidade,NA,7915,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,um andar,acima da média,média,1999,2000,quadril,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,boa,média,concreto derrramado,excelente,média,exposição mínima,alojamento bom,1223,não finalizado,0,443,1666,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1675,0,0,1675,2,0,3,1,boa,6,funcionalidade típica,0,NA,anexada à casa,1999,acabamento grosseiro,2,435,média,média,Y,165,52,0,0,0,0,NA,NA,NA,0,12,2008,WD ,venda normal,195000
1586,1586,916477020,60,Residencial baixa densidade,85,12244,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,dois andares,muito boa,média,2003,2003,quadril,telha padrão (composto),tapume de vinil,tapume de vinil,pedra,226,boa,média,concreto derrramado,boa,média,exposição boa,alojamento bom,871,não finalizado,0,611,1482,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1482,780,0,2262,2,1,4,1,boa,10,funcionalidade típica,2,boa,anexada à casa,2003,terminada,3,749,média,média,Y,168,0,0,0,0,0,NA,NA,NA,0,8,2008,WD ,venda normal,305000
1587,1587,921126030,20,Residencial baixa densidade,79,11449,pavimentada,NA,levemente irregular,encosta,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,um andar,muito boa,média,2007,2007,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,boa,média,concreto derrramado,boa,média,exposição média,alojamento bom,1011,não finalizado,0,873,1884,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1728,0,0,1728,2,0,3,1,boa,7,funcionalidade típica,1,boa,anexada à casa,2007,terminada,2,520,média,média,Y,0,276,0,0,0,0,NA,NA,NA,0,1,2008,WD ,venda normal,298751
1588,1588,921201060,20,Residencial baixa densidade,85,11447,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Timberland,normal,normal,família única,um andar,muito boa,média,2005,2006,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,face de tijolo,674,boa,média,concreto derrramado,excelente,média,exposição média,alojamento bom,1571,não finalizado,0,393,1964,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1964,0,0,1964,2,1,3,1,boa,7,funcionalidade típica,1,boa,anexada à casa,2005,terminada,3,892,média,média,Y,0,265,0,0,0,0,NA,NA,NA,0,6,2008,WD ,venda normal,370000
1589,1589,923202005,duplex - todas os estilos e idades,Residencial média densidade,97,8940,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Mitchell,normal,normal,duplex,hall de entrada dividido (split foyer),boa,média,1997,1998,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,face de tijolo,200,m\u00e9dia,boa,concreto derrramado,boa,boa,exposição boa,alojamento bom,1309,não finalizado,0,35,1344,2,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1344,0,0,1344,2,0,2,2,média,8,funcionalidade típica,0,NA,anexada à casa,1997,terminada,4,784,média,média,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2008,WD ,alocação,209200
1590,1590,923202015,duplex - todas os estilos e idades,Residencial média densidade,78,7060,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Mitchell,normal,normal,duplex,hall de entrada dividido (split foyer),boa,média,1997,1998,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,face de tijolo,200,m\u00e9dia,boa,concreto derrramado,boa,boa,exposição boa,alojamento bom,1309,não finalizado,0,35,1344,2,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1344,0,0,1344,2,0,2,2,média,8,funcionalidade típica,0,NA,anexada à casa,1997,terminada,4,784,média,média,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2008,WD ,alocação,206300
1591,1591,923202137,20,Residencial baixa densidade,77,9278,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,fachada em dois lados da propriedade,declive leve,Mitchell,adjacente a rua alimentadora,adjacente a rua arterial,família única,um andar,média,média,2007,2008,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,m\u00e9dia,média,concreto derrramado,boa,média,No,não finalizado,0,não finalizado,0,1092,1092,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1092,0,0,1092,1,0,2,1,média,5,funcionalidade típica,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,52,0,0,0,0,NA,NA,NA,0,2,2008,WD ,venda anormal,146000
1592,1592,923203140,"desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)",Residencial média densidade,32,4500,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,fachada em dois lados da propriedade,declive leve,Mitchell,normal,normal,unidade interna de moradia,um andar,acima da média,média,1997,1997,quadril,telha padrão (composto),tapume de vinil,tapume de vinil,face de tijolo,197,m\u00e9dia,média,concreto derrramado,excelente,média,No,alojamento bom,864,não finalizado,0,325,1189,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1189,0,0,1189,2,0,2,1,média,4,funcionalidade típica,0,NA,anexada à casa,1997,acabamento grosseiro,2,392,média,média,Y,0,122,0,0,0,0,NA,NA,NA,0,4,2008,WD ,venda normal,160500
1593,1593,923204040,salão de entrada dividido (split foyer),Residencial baixa densidade,150,14137,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Mitchell,normal,normal,família única,hall de entrada dividido (split foyer),abaixo da média,média,1964,1964,duas águas,telha padrão (composto),placa dura,placa dura,face de tijolo,98,m\u00e9dia,média,bloco de concreto,boa,média,exposição média,alojamento médio,865,baixa qualidade,247,88,1200,1,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,1200,0,0,1200,1,0,3,1,média,6,funcionalidade típica,0,NA,mais do que 1 tipo de garagem,1964,terminada,3,850,média,média,Y,0,119,0,0,171,0,NA,NA,NA,0,11,2008,contrato de baixo pagamento inicial,venda normal,173000
1594,1594,923225080,"desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)",Residencial média densidade,NA,4224,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Meadow Village,normal,normal,unidade interna de moradia,um andar,média,acima da média,1975,1975,duas águas,telha padrão (composto),placa de cimento,CmentBd,nenhum,0,m\u00e9dia,média,concreto derrramado,boa,média,No,alojamento bom,769,não finalizado,0,271,1040,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,1040,0,0,1040,1,0,3,1,média,6,funcionalidade típica,0,NA,anexada à casa,1975,não terminada,2,499,média,média,Y,0,100,0,0,0,0,NA,NA,NA,0,6,2008,WD ,venda normal,124000
1595,1595,923225150,desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas),Residencial média densidade,NA,2665,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Meadow Village,normal,normal,unidade interna de moradia,dois andares,média,acima da média,1976,1976,duas águas,telha padrão (composto),placa de cimento,CmentBd,nenhum,0,m\u00e9dia,média,concreto derrramado,boa,média,exposição mínima,não finalizado,0,não finalizado,0,264,264,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,616,688,0,1304,1,1,3,1,média,4,funcionalidade típica,1,boa,embutida,1976,terminada,1,336,média,média,Y,141,24,0,0,0,0,NA,NA,NA,0,6,2008,WD ,venda normal,115000
1596,1596,923225200,desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas),Residencial média densidade,41,2665,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Meadow Village,normal,normal,unidade interna de moradia,dois andares,média,boa,1976,1976,duas águas,telha padrão (composto),placa de cimento,CmentBd,nenhum,0,m\u00e9dia,média,concreto derrramado,boa,média,No,alojamento médio,318,não finalizado,0,232,550,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,925,550,0,1475,2,0,4,1,média,6,funcionalidade típica,1,média,anexada à casa,1976,não terminada,1,336,média,média,Y,92,26,0,0,0,0,NA,NA,NA,0,5,2008,WD ,venda normal,129500
1597,1597,923225310,desenvolvimento de unidade planejada (PUD) multinível (incluindo salão de entrada ou nível dividido),Residencial média densidade,21,1974,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Meadow Village,normal,normal,unidade final de moradia,hall de entrada dividido (split foyer),abaixo da média,boa,1973,2006,duas águas,telha padrão (composto),placa de cimento,CmentBd,nenhum,0,m\u00e9dia,boa,bloco de concreto,boa,média,exposição média,alojamento bom,501,não finalizado,0,25,526,1,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,526,462,0,988,1,0,2,1,média,5,funcionalidade típica,0,NA,embutida,1973,acabamento grosseiro,1,297,média,média,Y,120,101,0,0,0,0,NA,NA,NA,0,6,2008,WD ,venda normal,105000
1598,1598,923225370,desenvolvimento de unidade planejada (PUD) multinível (incluindo salão de entrada ou nível dividido),Residencial média densidade,21,1596,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Meadow Village,normal,normal,unidade final de moradia,nível dividido (split level),abaixo da média,acima da média,1973,1973,duas águas,telha padrão (composto),placa de cimento,CmentBd,nenhum,0,m\u00e9dia,média,bloco de concreto,boa,média,exposição boa,alojamento bom,437,não finalizado,0,25,462,1,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,526,462,0,988,1,0,1,1,média,4,funcionalidade típica,1,ruim,embutida,1973,acabamento grosseiro,1,297,média,média,Y,0,101,0,120,0,0,NA,boa madeira,NA,0,7,2008,WD ,venda normal,94900
1599,1599,923227030,20,Residencial baixa densidade,NA,17979,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Mitchell,normal,normal,família única,um andar,média,acima da média,1968,1968,duas águas,telha padrão (composto),madeirra compensada,madeirra compensada,nenhum,0,m\u00e9dia,boa,bloco de concreto,média,média,No,alojamento médio,785,não finalizado,0,328,1113,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1160,0,0,1160,1,0,3,1,boa,6,funcionalidade típica,0,NA,anexada à casa,1968,não terminada,1,257,média,média,Y,81,0,0,0,0,0,NA,boa madeira,galpão,500,2,2008,WD ,venda normal,152500
1600,1600,923228080,desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas),Residencial média densidade,21,1477,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Meadow Village,normal,normal,unidade final de moradia,dois andares,acima da média,excelente,1970,2007,duas águas,telha padrão (composto),placa de cimento,CmentBd,nenhum,0,m\u00e9dia,boa,bloco de concreto,média,média,No,alojamento bom,358,não finalizado,0,188,546,0,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,546,546,0,1092,2,1,3,1,média,6,funcionalidade típica,0,NA,NA,NA,NA,0,0,NA,NA,Y,187,0,0,0,0,0,NA,NA,NA,0,3,2008,WD ,venda normal,98000
1601,1601,923228420,desenvolvimento de unidade planejada (PUD) multinível (incluindo salão de entrada ou nível dividido),Residencial média densidade,21,1890,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Meadow Village,normal,normal,unidade final de moradia,hall de entrada dividido (split foyer),abaixo da média,boa,1972,1972,duas águas,telha padrão (composto),placa de cimento,CmentBd,nenhum,0,m\u00e9dia,boa,bloco de concreto,boa,média,exposição média,alojamento médio,495,não finalizado,0,135,630,1,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,630,0,0,630,1,0,1,1,média,3,funcionalidade típica,0,NA,NA,NA,NA,0,0,NA,NA,Y,88,0,0,0,0,0,NA,NA,NA,0,6,2008,WD ,venda normal,81000
1602,1602,923250210,20,Residencial baixa densidade,100,21750,pavimentada,NA,regular,encosta,todas as utilidades p\u00fablicas,lote interno,declive moderado,Mitchell,adjacente a rua arterial,normal,família única,um andar,média,média,1954,1954,quadril,telha padrão (composto),placa dura,placa dura,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,No,não finalizado,0,não finalizado,0,988,988,0,0,forno de ar quente a gás,excelente,Y,caixa de fusíveis acima de 60 AMP e toda a fiação Romex (média),988,0,0,988,1,0,2,1,média,4,funcionalidade típica,0,NA,anexada à casa,1954,acabamento grosseiro,2,520,média,média,N,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD ,venda normal,113000
1603,1603,923252100,20,Residencial baixa densidade,59,6490,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Mitchell,normal,normal,família única,um andar,média,boa,1983,1983,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,m\u00e9dia,boa,bloco de concreto,média,média,No,alojamento bom,534,não finalizado,0,282,816,0,1,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,816,0,0,816,1,0,2,1,média,4,funcionalidade típica,0,NA,anexada à casa,1983,não terminada,1,264,média,média,Y,315,0,0,0,0,0,NA,boa madeira,NA,0,4,2008,WD ,venda normal,128500
1604,1604,923275090,20,Residencial baixa densidade,37,6951,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,rua sem saída,declive leve,Mitchell,normal,normal,família única,um andar,média,média,1984,1985,duas águas,telha padrão (composto),placa dura,madeirra compensada,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,No,alojamento médio,658,não finalizado,0,218,876,1,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,923,0,0,923,1,0,3,1,média,5,funcionalidade típica,0,NA,anexada à casa,1984,não terminada,1,264,média,média,Y,362,0,0,0,0,0,NA,mínima privacidade,NA,0,10,2008,WD ,venda normal,119500
1605,1605,923277030,20,Residencial baixa densidade,60,6600,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Mitchell,normal,normal,família única,um andar,média,excelente,1982,2008,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,boa,boa,bloco de concreto,média,média,No,alojamento médio,641,não finalizado,0,175,816,0,1,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,816,0,0,816,1,0,3,1,boa,5,funcionalidade típica,1,excelente,anexada à casa,1982,não terminada,1,264,média,média,Y,0,0,0,0,0,0,NA,mínima privacidade,NA,0,10,2008,WD ,venda normal,130500
1606,1606,923277040,20,Residencial baixa densidade,60,6600,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Mitchell,normal,normal,família única,um andar,média,muito boa,1982,2003,duas águas,telha padrão (composto),placa dura,placa dura,nenhum,0,m\u00e9dia,boa,concreto derrramado,média,boa,No,alojamento bom,816,não finalizado,0,0,816,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,816,0,0,816,1,0,2,1,média,4,funcionalidade típica,0,NA,garagem não anexada à casa,1985,terminada,2,816,média,média,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD ,venda normal,138000
1607,1607,923277080,20,Residencial baixa densidade,60,6600,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Mitchell,normal,normal,família única,um andar,média,acima da média,1982,2005,duas águas,telha padrão (composto),placa dura,madeirra compensada,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,No,alojamento bom,638,não finalizado,0,207,845,0,0,forno de ar quente a gás,boa,Y,disjuntores padrão e Romex,845,0,0,845,1,0,3,1,boa,6,funcionalidade típica,0,NA,anexada à casa,1982,não terminada,1,264,média,média,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2008,WD ,venda normal,134500
1608,1608,923400040,50,Residencial baixa densidade,75,12508,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive leve,Mitchell,normal,normal,família única,um andar e meio (segundo nível terminado),acima da média,boa,1940,1985,duas águas,telha padrão (composto),tapume de vinil,tapume de vinil,nenhum,0,m\u00e9dia,média,bloco de concreto,boa,média,exposição mínima,alojamento médio,660,não finalizado,0,323,983,1,0,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,983,767,0,1750,2,0,4,1,média,7,deduções moderadas,0,NA,anexada à casa,1989,não terminada,1,423,média,média,Y,245,0,156,0,0,0,NA,NA,galpão,1300,7,2008,WD ,venda normal,160000
1609,1609,923426010,20,Residencial baixa densidade,74,12395,pavimentada,NA,regular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote de esquina,declive leve,Mitchell,normal,normal,família única,um andar,média,acima da média,1984,1984,duas águas,telha padrão (composto),placa dura,madeirra compensada,nenhum,0,m\u00e9dia,média,bloco de concreto,média,média,No,alojamento médio,647,não finalizado,0,217,864,0,0,forno de ar quente a gás,média,Y,disjuntores padrão e Romex,889,0,0,889,1,0,3,1,média,6,funcionalidade típica,0,NA,anexada à casa,1984,não terminada,2,484,média,média,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2008,WD ,venda normal,137500
1610,1610,924100020,60,Residencial baixa densidade,NA,11075,pavimentada,NA,levemente irregular,aproximadamente plana/nivelada,todas as utilidades p\u00fablicas,lote interno,declive moderado,Mitchell,normal,normal,família única,dois andares,média,abaixo da média,1969,1969,duas águas,telha padrão (composto),placa dura,placa dura,face de tijolo,232,m\u00e9dia,média,bloco de concreto,média,média,exposição média,alojamento médio,562,baixa qualidade,193,29,784,0,1,forno de ar quente a gás,excelente,Y,disjuntores padrão e Romex,1168,800,0,1968,2,1,4,1,média,7,deduções menores 2,1,ruim,anexada à casa,1969,acabamento grosseiro,2,530,média,média,Y,305,189,0,0,0,0,NA,mínima privacidade,galpão,400,9,2008,WD ,venda normal,172000
